,MEblack,MEbrown,MEchocolate,MEcoral,MEdarkred,MEdarksalmon,MEfirebrick,MEgainsboro,MEindianred,MElightcoral,MElightgrey,MElightsalmon,MEmaroon,MEorangered,MErosybrown,MEsaddlebrown,MEsalmon,MEseashell,MEsilver,MEtomato,MEwhite,MEwhitesmoke
ACH-001270,-0.00997124552300871,-0.00777700812398445,-0.00783423385656235,-0.009261747792132837,-0.009023370693215795,-0.0029507047816803157,-0.007915635069202752,-0.016590394517976448,-0.006839388424316994,-0.007650950483985114,-0.027427561083616745,-0.011071178655929709,-0.020283338776379382,-0.010036590124814138,-8.642981272416024e-05,-0.006139007330823158,-0.004209334698378697,-0.0025113138238172013,-0.02541516527343664,-0.012207817965947679,0.01363334301562949,0.011333078036770342
ACH-001001,-0.007063201086213897,-0.010353622994532574,-0.005773365239407254,-0.009728753101891101,-0.009821643293598166,-0.005168308538230374,-0.007095668846858092,-0.022212843035227525,-0.007552433857365767,-0.008770561917304102,-0.025507576410707066,-0.006928310622223884,-0.024777701310081945,-0.01092282913458828,-0.003308842022455593,-0.006919002563990612,-0.004595297413167554,-0.0064908347376588325,-0.01974323938595557,-0.0110695297584132,0.008373875786255086,0.0008130129621414239
ACH-000956,-0.009026521367714748,0.0011366823366229517,0.0036117607110211715,-0.0006899707401822314,-0.0024120801250138747,0.022916589020786235,-8.620663466106254e-05,0.02069642278452699,-0.0036374332294233035,-0.004439048457568943,-0.0010767012576008658,-7.241177900208186e-05,0.04017837267814073,-0.0006420181437452714,0.0015316504777183417,0.001839489063358071,0.019997452147331833,-0.0040412254918807105,-0.0033631627385209972,0.00026765659764929736,0.008780307254079418,-0.0067796944701533635
ACH-000948,-0.0026304393550475136,-0.002711090100973198,-0.0037946163814103805,0.006009802768505623,-0.00885986776281284,-0.003429098903164152,-0.0077272065677324335,0.04870406307476299,-0.007031161410779551,-0.007821608449698347,-0.005070457916527539,0.0022012164574353186,0.00612808509381782,0.007729397686612023,-0.004810453280592837,-0.005973843409803561,-0.0182276241731953,-0.006749692182373824,-0.010338803084169054,-0.002576909425794388,-0.009041421595903973,-0.00513211823298039
ACH-000026,2.4199744169452544e-05,-0.0018318163932167296,-0.0030267113874994705,-0.0017744158561258814,-0.004037472043024796,-0.004335914468452975,-0.007524953506190722,-0.002901544995457835,-0.0015452402553258295,-0.005276706353849147,0.0043747252181786005,0.0006883984378710864,-0.007229563759493926,-0.0026268638595305337,-0.005242331404013117,-0.001638386697915741,-0.003880803970355879,-0.006181719333223171,-0.005929333637585984,-0.002124507826866274,0.000736987514910772,0.004950508340153849
ACH-000011,-0.005543406712521383,-0.005693562905360701,-0.005733434013324538,-0.0033458281859002357,-0.003980198603166586,-0.0035457328148237655,-0.009708845708159275,-0.008143366869437691,-0.006407816640762519,-0.006874794986909461,-0.010372857012442376,-0.006553651441871903,-0.032924850638476374,-0.00594965384931787,-0.0047467344497318315,-0.004649135405626378,-0.008094517934378546,-0.006258862781946519,-0.014395523150471563,-0.0037321780999571485,-0.0014264638725613606,0.00024947454517639054
ACH-000323,-0.0010804042933434095,-0.0024458497544176247,-0.00279054437448837,-0.0010312718179289824,-0.007094893164094821,0.01317366826404447,-0.008330246445006866,-0.02926661879926268,-0.00818436807434906,-0.006474242880429403,-0.0024298111299993997,-0.004642732304285852,-0.001412990148738692,-0.004553875457487679,-0.00196570015640862,-0.0045135101786802296,-0.007855041807629835,-0.007494779194004045,-0.016515608093732002,-0.002900313192561289,-0.00815775860432327,0.04032691500884429
ACH-000905,-0.010142731099779386,-0.005985825662776536,-0.008253586110983917,-0.006533865044873196,-0.008831992945273743,-0.006222751149483203,-0.011401715272167767,0.015039024597379038,-0.007671467428964714,-0.006885476161481243,-0.004084435631508359,-0.008968532501362241,-0.018121798392454824,-0.009224226837886325,-0.004714621507311863,-0.006512203143576847,-0.01233195007146245,-0.008955952069527384,-0.01880822968951289,-0.009850351048560885,-0.008646640696680336,0.016178525872082655
ACH-000520,-0.004588273665367185,-0.0018414317072232805,-0.00661577774027326,-0.003959384402355073,-0.007788363220650394,-0.00470038443409856,-0.0076849064699052155,-0.019661352049940285,-0.008623396944349755,-0.009165875047622708,0.0026592029510456748,-0.009166709176838954,-0.03667632514157312,-0.008705529758406445,-0.0018137007054687979,-0.0006646657430106319,-0.014071719736328994,-0.00663933972024185,-0.016318162799388483,-0.004631977726720381,-0.0032926747242674357,0.014445273962870969
ACH-000973,0.0018657208171460635,-0.0011888984606409495,-0.008976509148647564,-0.003243428819295321,-0.006876401421092076,0.0010746537218630009,-0.009073516783100312,-0.011886090999814834,-0.00810352723561406,-0.008258340404711966,0.006482287830203665,-0.004151563436016544,0.02069212290648905,-0.002074463740494828,-0.0037929937764537586,-0.006266303274359726,0.002697857470469991,-0.008953218909490244,-0.007495900318310335,-0.004585919810075462,-0.005160741058976555,0.014310948859372686
