,AEblack,AEbrown,AEchocolate,AEcoral,AEdarkred,AEdarksalmon,AEfirebrick,AEgainsboro,AEindianred,AElightcoral,AElightgrey,AElightsalmon,AEmaroon,AEorangered,AErosybrown,AEsaddlebrown,AEsalmon,AEseashell,AEsilver,AEtomato,AEwhite,AEwhitesmoke
ACH-001270,0.0013275739650229212,-0.12540341440303054,-0.17590137078857107,-0.18086255550496866,-0.1898294544277622,-0.23085103339282145,-0.15043170404353434,-0.3379780798070037,-0.1493614992173707,-0.13706612334239607,-0.3751371166717663,-0.17660525415657394,-0.13191252789594926,-0.1872019650661028,0.1275950208928581,-0.16730634153349744,-0.0891236251460556,-0.0912594299222276,-0.3481745295529284,-0.21461515909114648,0.4053779919544539,0.08014908500462997
ACH-001001,-0.11284098685899367,-0.23354896464720462,-0.13595017544930688,-0.17788638833623943,-0.1688004091521928,-0.2338942670402586,-0.14236548369962124,-0.3538439020131236,-0.14775425316434507,-0.13465721977491474,-0.3076132310945939,-0.126696849495825,-0.1609489142825896,-0.23698721360143593,-0.09048051186801867,-0.17283232232125761,-0.08894136942900276,-0.15021231660769163,-0.27106401936803814,-0.20814219728363798,0.40998375422598377,-0.022601260405290126
ACH-000956,-0.04049492877821241,0.03301070026409982,0.08717337676366996,0.0025035089388968862,0.02550110154052061,0.32756291601345616,0.006736356982669277,0.19087415127202378,0.12669989784829713,-0.031995312482312244,-0.01328079997492505,0.009984336239663221,0.2521815056280412,-0.010906459464001738,0.03128079767030681,0.24906850948145842,0.3256568620204434,0.11412550437712124,-0.03436611745886618,0.17620259620051437,0.09892159419938605,0.05447517288985757
ACH-000948,-0.028993100389959867,-0.04696656165444884,-0.08458085850073574,0.05592028595268775,-0.12927427999136548,0.08462846789653844,-0.12340381254270093,0.38832233519438497,-0.10444338004382811,-0.09938521633167045,-0.09630347130824572,0.06376653082962871,0.006528129322433901,0.15249420114150247,-0.13658436212935215,-0.1809116479103657,-0.29531412072809954,0.13731108620897675,-0.11632203392452563,-0.056399837659584166,-0.13735687118768836,-0.09342889598957628
ACH-000026,-0.007114425070353885,-0.04088441523885267,-0.07325134112456944,-0.08086729189231223,-0.09025658040586979,0.15121255259316657,-0.12521770613886812,-0.08718555190531142,-0.06635693701091913,-0.02394240293902338,0.13340503951890026,0.017993805344069358,-0.002282837834241056,-0.0653991367111327,-0.11567802481518501,-0.03289540155448655,-0.05805262028566164,-0.038363252784174934,-0.06513071112711075,-0.023180039356365163,0.15697501822737336,0.05705672976079769
ACH-000011,-0.05911585844120193,-0.13174311288180307,-0.11610976902983312,-0.09183322241776584,-0.042916865325568945,0.19321970978720085,-0.15906510708406787,-0.19789921132072302,-0.1279754682269412,-0.048691351810026616,-0.15917096313754922,-0.13367202678138976,-0.18026219030631488,-0.12920137819442992,-0.06520244042902996,-0.08491788479140389,-0.1355524066712432,-0.06414449626547594,-0.19732963639010284,-0.0692472524087429,0.014711365856714127,-0.045460453481968185
ACH-000323,-0.0035752197842518854,-0.06669575320552426,-0.07027072701045327,-0.05006364751958169,-0.1748912757069879,0.005529837713703922,-0.14911223291896986,-0.40355024279559737,-0.14772580992391424,-0.1175837323516466,-0.09349614756697623,-0.09627846541549544,-0.0178663973155314,-0.10314673138225024,-0.05729566968146382,-0.11553914762878946,-0.13448469917973155,-0.19366004059251504,-0.20314669884974346,-0.05691933438632396,-0.1888631825692215,0.38020652916049724
ACH-000905,-0.15542494202535748,-0.15084670178912307,-0.186236071019396,-0.13747179110730276,-0.19131825882011821,-0.18908331947790602,-0.19053480089687794,-0.013730766307229785,-0.1570337454754974,-0.11013867589411608,-0.08789927483038461,-0.13651513574112734,-0.15451823469264955,-0.17562426708166742,-0.10439076891205797,-0.18427031194240306,-0.22409780171474955,-0.2036720136646372,-0.22381282079938283,-0.17619951033593922,-0.1230989579915727,0.12170448685214648
ACH-000520,-0.06801097185915314,-0.07636721034975914,-0.1430696679064027,-0.10639352628528906,-0.1685458750367043,-0.0649725295758274,-0.13520487939646555,-0.3669206978792921,-0.16092368687419348,-0.14097414841962272,0.06787677350291584,-0.15061421404219416,-0.2302176534437338,-0.16510926738646864,-0.06842695352833815,-0.05958178033452651,-0.23645355443391877,-0.1342787022158605,-0.19897656852418852,-0.09001488340162377,0.01094886695312161,0.08381459811074703
ACH-000973,0.010691739526534655,-0.03310244795814816,-0.20275577819361104,-0.08299652296386692,-0.11722823685235137,-0.0944587195512857,-0.15935667531878064,-0.17930085462416495,-0.1304403925625978,-0.12477678642834762,0.1356520947504613,-0.08592657796257606,0.09903549892787551,-0.05591232058185732,-0.04846578014920298,-0.1949057410876029,0.013973102416900082,-0.17544107273196458,-0.06890365338612252,-0.12163550149209774,0.004241633552170451,0.14622209603252723
